Epoch,Loss,Accuracy
1,2.6548547744750977,0.2958984375
2,1.7901211977005005,0.537109375
3,1.5331758260726929,0.5615234375
4,1.4306639432907104,0.5693359375
5,1.3480210304260254,0.5732421875
6,1.2657601833343506,0.5986328125
7,1.2129302024841309,0.6181640625
8,1.1548540592193604,0.6396484375
9,1.1181373596191406,0.642578125
10,1.1082258224487305,0.6416015625
11,1.0432870388031006,0.6669921875
12,1.0051953792572021,0.6611328125
13,0.9858719706535339,0.6728515625
14,0.9585455656051636,0.6962890625
15,0.9419898986816406,0.6865234375
16,0.9081718921661377,0.6962890625
17,0.91460782289505,0.7001953125
18,0.9018154740333557,0.7021484375
19,0.878243088722229,0.716796875
20,0.8590319156646729,0.7255859375
21,0.8581043481826782,0.7294921875
22,0.8381339907646179,0.7421875
23,0.8235612511634827,0.7236328125
24,0.812482476234436,0.7470703125
25,0.8202839493751526,0.748046875
26,0.8187333345413208,0.7353515625
27,0.7629652619361877,0.7548828125
28,0.7839796543121338,0.7451171875
29,0.7485179901123047,0.75390625
30,0.7398863434791565,0.767578125
31,0.7511873245239258,0.76171875
32,0.7411702275276184,0.7607421875
33,0.7233507633209229,0.765625
34,0.7367217540740967,0.7607421875
35,0.7310803532600403,0.7705078125
36,0.6887282133102417,0.7890625
37,0.6976847052574158,0.775390625
38,0.7010457515716553,0.771484375
39,0.6948071718215942,0.787109375
40,0.6842090487480164,0.78515625
41,0.6789320111274719,0.7822265625
42,0.6629542708396912,0.7978515625
43,0.6788395643234253,0.7978515625
44,0.6622868776321411,0.7890625
45,0.6455479860305786,0.8037109375
46,0.6239712238311768,0.7978515625
47,0.6366577744483948,0.796875
48,0.627873957157135,0.806640625
49,0.6162553429603577,0.796875
50,0.6159789562225342,0.80078125
51,0.6349382400512695,0.7861328125
52,0.6141499280929565,0.7919921875
53,0.6134078502655029,0.7919921875
54,0.5738891363143921,0.8056640625
55,0.6041421890258789,0.796875
56,0.6080716848373413,0.798828125
57,0.5795252323150635,0.8173828125
58,0.564178466796875,0.8037109375
59,0.5599673986434937,0.818359375
60,0.5612360239028931,0.8193359375
61,0.5657768845558167,0.828125
62,0.5811335444450378,0.8076171875
63,0.5737136602401733,0.8076171875
64,0.5668742060661316,0.822265625
65,0.5552111864089966,0.8125
66,0.5622892379760742,0.8232421875
67,0.5410990715026855,0.8271484375
68,0.5410405397415161,0.828125
69,0.5260686874389648,0.8251953125
70,0.5442684292793274,0.8115234375
71,0.5202810764312744,0.830078125
72,0.5503667593002319,0.83203125
73,0.5187127590179443,0.830078125
74,0.5127286911010742,0.8251953125
75,0.5283066034317017,0.822265625
76,0.5214672088623047,0.8271484375
77,0.5023533701896667,0.8203125
78,0.5015749335289001,0.8232421875
79,0.5265580415725708,0.8232421875
80,0.5080109238624573,0.8388671875
